_,PS,PS_prov,PS_search,base,base_prov,base_search
-1,100.14,100.14,0.00,0.00,0.00,0.00
0,98.24,98.24,0.00,0.00,0.00,0.00
1,98.66,98.66,0.00,0.00,0.00,0.00
2,121.79,101.55,20.24,0.00,0.00,0.00
3,153.18,115.45,37.73,0.00,0.00,0.00
4,162.24,112.04,50.19,0.00,0.00,0.00
5,182.46,113.67,68.79,0.00,0.00,0.00
6,242.63,140.49,102.14,0.00,0.00,0.00
7,290.61,145.82,144.79,0.00,0.00,0.00
8,271.93,109.91,162.02,0.00,0.00,0.00
9,421.23,120.82,300.41,0.00,0.00,0.00
10,401.22,100.83,300.39,0.00,0.00,0.00
11,401.03,100.61,300.42,0.00,0.00,0.00
